HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Elyria, OH",453.00,63.00,214.00,333.00,21.00,42.00,200261.00,44042.00,80104.00,16893.00,3687.00,1126.00,5.26,3.38,2.49,563.00,2.63,1.69,1.24,367.00,1.71,1.10,0.81,246.00,11.71,5.86,3.90,123.00,5.86,2.93,1.95,80.00,3.81,1.90,1.27
"Erie, PA",1904.00,184.00,706.00,1305.00,88.00,136.00,561138.00,130069.00,224455.00,47589.00,10451.00,3173.00,4.49,2.43,1.67,1586.00,2.25,1.22,0.83,1035.00,1.47,0.79,0.54,697.00,7.92,5.13,3.79,348.00,3.95,2.56,1.89,227.00,2.58,1.67,1.23
"Eugene, OR",1208.00,138.00,416.00,812.00,64.00,101.00,603572.00,141016.00,241429.00,51230.00,11261.00,3415.00,8.21,4.21,2.83,1708.00,4.11,2.10,1.41,1114.00,2.68,1.37,0.92,751.00,11.73,7.44,5.44,375.00,5.86,3.71,2.72,245.00,3.83,2.43,1.78
"Evanston, IL",2032.00,332.00,666.00,1349.00,137.00,234.00,711961.00,162705.00,284784.00,60292.00,13218.00,4019.00,6.03,2.98,1.98,2010.00,3.02,1.49,0.99,1311.00,1.97,0.97,0.65,881.00,6.43,3.76,2.65,441.00,3.22,1.88,1.33,287.00,2.09,1.23,0.86
"Evansville, IN",2154.00,328.00,1050.00,1602.00,157.00,243.00,528945.00,115347.00,211578.00,44583.00,9720.00,2972.00,2.83,1.86,1.38,1486.00,1.42,0.93,0.69,969.00,0.92,0.60,0.45,648.00,4.13,2.67,1.98,324.00,2.06,1.33,0.99,211.00,1.34,0.87,0.64
"Everett, WA",951.00,83.00,319.00,635.00,26.00,55.00,542404.00,104811.00,216962.00,45206.00,9724.00,3014.00,9.45,4.75,3.17,1507.00,4.72,2.37,1.58,983.00,3.08,1.55,1.03,648.00,24.92,11.78,7.81,324.00,12.46,5.89,3.90,211.00,8.12,3.84,2.54
"Fargo/Moorhead MN, ND",1872.00,180.00,734.00,1303.00,48.00,114.00,432080.00,90275.00,172832.00,36269.00,7869.00,2418.00,3.29,1.86,1.29,1209.00,1.65,0.93,0.65,788.00,1.07,0.60,0.42,525.00,10.94,4.61,2.92,262.00,5.46,2.30,1.46,171.00,3.56,1.50,0.95
"Flint, MI",1375.00,161.00,458.00,916.00,58.00,109.00,426480.00,89340.00,170592.00,35807.00,7771.00,2387.00,5.21,2.61,1.74,1194.00,2.61,1.30,0.87,778.00,1.70,0.85,0.57,518.00,8.93,4.75,3.22,259.00,4.47,2.38,1.61,169.00,2.91,1.55,1.05
"Florence, SC",1248.00,224.00,481.00,865.00,79.00,151.00,287862.00,62812.00,115145.00,24264.00,5290.00,1618.00,3.36,1.87,1.30,809.00,1.68,0.94,0.65,527.00,1.10,0.61,0.42,353.00,4.47,2.34,1.58,176.00,2.23,1.17,0.79,115.00,1.46,0.76,0.51
"Fort Collins, CO",704.00,31.00,341.00,523.00,14.00,22.00,287995.00,47223.00,115198.00,23682.00,5011.00,1579.00,4.63,3.02,2.24,789.00,2.31,1.51,1.12,515.00,1.51,0.98,0.73,334.00,23.86,15.18,10.77,167.00,11.93,7.59,5.39,109.00,7.79,4.95,3.52
"Fort Lauderdale, FL",7323.00,908.00,2753.00,5038.00,292.00,600.00,2396614.00,619365.00,958646.00,205679.00,45787.00,13712.00,4.98,2.72,1.87,6856.00,2.49,1.36,0.94,4471.00,1.62,0.89,0.61,3052.00,10.45,5.09,3.36,1526.00,5.23,2.54,1.68,995.00,3.41,1.66,1.10
"Fort Myers, FL",3115.00,268.00,1089.00,2102.00,97.00,182.00,1079022.00,373713.00,431609.00,96207.00,22327.00,6414.00,5.89,3.05,2.06,3207.00,2.94,1.53,1.03,2091.00,1.92,0.99,0.67,1488.00,15.34,8.18,5.55,744.00,7.67,4.09,2.78,485.00,5.00,2.66,1.81
"Fort Smith, AR",931.00,87.00,487.00,709.00,55.00,71.00,281971.00,62427.00,112788.00,23802.00,5198.00,1587.00,3.26,2.24,1.70,793.00,1.63,1.12,0.85,517.00,1.06,0.73,0.56,347.00,6.31,4.89,3.99,173.00,3.15,2.44,1.99,113.00,2.05,1.59,1.30
"Fort Wayne, IN",2442.00,376.00,1038.00,1740.00,143.00,259.00,651379.00,132442.00,260552.00,54538.00,11797.00,3636.00,3.50,2.09,1.49,1818.00,1.75,1.04,0.74,1186.00,1.14,0.68,0.49,786.00,5.50,3.03,2.09,393.00,2.75,1.52,1.05,256.00,1.79,0.99,0.68
"Fort Worth, TX",4200.00,501.00,1400.00,2800.00,187.00,344.00,1764292.00,277941.00,705717.00,144648.00,30493.00,9643.00,6.89,3.44,2.30,4822.00,3.44,1.72,1.15,3145.00,2.25,1.12,0.75,2033.00,10.87,5.91,4.06,1016.00,5.43,2.95,2.03,663.00,3.55,1.93,1.32
"Fresno, CA",1935.00,205.00,547.00,1241.00,77.00,141.00,918145.00,146620.00,367258.00,75351.00,15905.00,5023.00,9.18,4.05,2.60,2512.00,4.59,2.02,1.30,1638.00,2.99,1.32,0.85,1060.00,13.77,7.52,5.17,530.00,6.88,3.76,2.59,346.00,4.49,2.45,1.69
"Gainesville, FL",1834.00,303.00,469.00,1152.00,88.00,195.00,464038.00,96829.00,185615.00,38946.00,8448.00,2596.00,5.54,2.25,1.42,1298.00,2.77,1.13,0.71,847.00,1.81,0.74,0.46,563.00,6.40,2.89,1.86,282.00,3.20,1.45,0.93,184.00,2.09,0.94,0.61
"Gary, IN",1434.00,179.00,638.00,1036.00,95.00,137.00,392167.00,80990.00,156867.00,32882.00,7125.00,2192.00,3.44,2.12,1.53,1096.00,1.72,1.06,0.76,715.00,1.12,0.69,0.50,475.00,5.00,3.47,2.65,238.00,2.51,1.74,1.33,155.00,1.63,1.13,0.87
"Grand Forks, ND",952.00,31.00,374.00,663.00,18.00,24.00,130084.00,25793.00,52034.00,10867.00,2344.00,724.00,1.94,1.09,0.76,362.00,0.97,0.55,0.38,236.00,0.63,0.36,0.25,156.00,8.67,6.50,5.03,78.00,4.33,3.25,2.52,51.00,2.83,2.13,1.65
"Grand Junction, CO",696.00,75.00,321.00,509.00,33.00,54.00,270519.00,57077.00,108208.00,22728.00,4937.00,1515.00,4.72,2.98,2.18,758.00,2.36,1.49,1.09,494.00,1.54,0.97,0.71,329.00,9.97,6.09,4.39,165.00,5.00,3.06,2.20,107.00,3.24,1.98,1.43
"Grand Rapids, MI",2440.00,236.00,957.00,1699.00,86.00,161.00,933913.00,171359.00,373565.00,77489.00,16579.00,5166.00,5.40,3.04,2.12,2583.00,2.70,1.52,1.06,1685.00,1.76,0.99,0.69,1105.00,12.85,6.86,4.68,553.00,6.43,3.43,2.34,360.00,4.19,2.24,1.53
"Great Falls, MT",937.00,50.00,367.00,652.00,27.00,39.00,114922.00,25583.00,45969.00,9706.00,2121.00,647.00,1.76,0.99,0.69,324.00,0.88,0.50,0.35,211.00,0.57,0.32,0.23,141.00,5.22,3.62,2.82,71.00,2.63,1.82,1.42,46.00,1.70,1.18,0.92
"Greeley, CO",792.00,79.00,396.00,594.00,28.00,54.00,294267.00,55594.00,117707.00,24477.00,5253.00,1632.00,4.12,2.75,2.06,816.00,2.06,1.37,1.03,532.00,1.34,0.90,0.67,350.00,12.50,6.48,4.43,175.00,6.25,3.24,2.22,114.00,4.07,2.11,1.44
"Green Bay, WI",990.00,112.00,498.00,744.00,43.00,77.00,402953.00,88095.00,161181.00,33972.00,7409.00,2265.00,4.55,3.04,2.29,1132.00,2.27,1.52,1.14,739.00,1.48,0.99,0.75,494.00,11.49,6.42,4.41,247.00,5.74,3.21,2.21,161.00,3.74,2.09,1.44
"Greensboro, NC",1224.00,135.00,362.00,793.00,47.00,91.00,505727.00,100544.00,202291.00,42256.00,9118.00,2817.00,7.78,3.55,2.30,1409.00,3.89,1.78,1.15,919.00,2.54,1.16,0.75,608.00,12.94,6.68,4.50,304.00,6.47,3.34,2.25,198.00,4.21,2.18,1.47
"Greenville, NC",1977.00,339.00,631.00,1304.00,115.00,227.00,679309.00,136432.00,271724.00,56812.00,12272.00,3787.00,6.00,2.90,1.92,1894.00,3.00,1.45,0.96,1235.00,1.96,0.95,0.62,818.00,7.11,3.60,2.41,409.00,3.56,1.80,1.21,267.00,2.32,1.18,0.79
"Greenville, SC",2217.00,282.00,798.00,1507.00,41.00,161.00,743619.00,153533.00,297448.00,62349.00,13509.00,4157.00,5.21,2.76,1.88,2078.00,2.60,1.38,0.94,1355.00,1.70,0.90,0.61,901.00,21.98,5.60,3.20,450.00,10.98,2.80,1.60,294.00,7.17,1.83,1.04
"Gulfport, MS",609.00,80.00,287.00,448.00,40.00,60.00,159671.00,28559.00,63868.00,13220.00,2821.00,881.00,3.07,1.97,1.45,441.00,1.54,0.98,0.72,287.00,1.00,0.64,0.47,188.00,4.70,3.13,2.35,94.00,2.35,1.57,1.18,61.00,1.53,1.02,0.76
"Hackensack, NJ",3819.00,175.00,1057.00,2438.00,98.00,137.00,1048868.00,200075.00,419547.00,87317.00,18757.00,5821.00,5.51,2.39,1.52,2911.00,2.75,1.19,0.76,1898.00,1.80,0.78,0.50,1250.00,12.76,9.12,7.14,625.00,6.38,4.56,3.57,408.00,4.16,2.98,2.33
"Harlingen, TX",1145.00,120.00,536.00,840.00,44.00,82.00,418633.00,76061.00,167453.00,34706.00,7418.00,2314.00,4.32,2.75,2.02,1157.00,2.16,1.38,1.01,754.00,1.41,0.90,0.66,495.00,11.25,6.04,4.13,247.00,5.61,3.01,2.06,161.00,3.66,1.96,1.34
"Harrisburg, PA",2426.00,211.00,929.00,1677.00,61.00,136.00,825408.00,183199.00,330163.00,69693.00,15226.00,4646.00,5.00,2.77,1.92,2323.00,2.50,1.39,0.96,1515.00,1.63,0.90,0.62,1015.00,16.64,7.46,4.81,508.00,8.33,3.74,2.41,331.00,5.43,2.43,1.57
"Hartford, CT",2855.00,323.00,751.00,1803.00,115.00,219.00,1196337.00,245503.00,478535.00,100251.00,21706.00,6683.00,8.90,3.71,2.34,3342.00,4.45,1.85,1.17,2179.00,2.90,1.21,0.76,1447.00,12.58,6.61,4.48,724.00,6.30,3.31,2.24,472.00,4.10,2.16,1.46
"Hattiesburg, MS",1546.00,85.00,504.00,1025.00,30.00,57.00,240419.00,46076.00,96168.00,20023.00,4303.00,1335.00,2.65,1.30,0.86,667.00,1.32,0.65,0.43,435.00,0.86,0.42,0.28,287.00,9.57,5.04,3.38,143.00,4.77,2.51,1.68,94.00,3.13,1.65,1.11
"Hickory, NC",603.00,64.00,253.00,428.00,25.00,45.00,229268.00,51364.00,91707.00,19376.00,4238.00,1292.00,5.11,3.02,2.14,646.00,2.55,1.51,1.07,421.00,1.66,0.98,0.70,283.00,11.32,6.29,4.42,141.00,5.64,3.13,2.20,92.00,3.68,2.04,1.44
"Hinsdale, IL",1041.00,172.00,402.00,721.00,89.00,130.00,385733.00,67856.00,154293.00,31894.00,6795.00,2126.00,5.29,2.95,2.04,1063.00,2.64,1.47,1.02,693.00,1.72,0.96,0.67,453.00,5.09,3.48,2.63,226.00,2.54,1.74,1.31,148.00,1.66,1.14,0.86
"Honolulu, HI",2623.00,219.00,795.00,1709.00,73.00,146.00,1114023.00,238126.00,445609.00,93714.00,20385.00,6248.00,7.86,3.66,2.38,3124.00,3.93,1.83,1.19,2037.00,2.56,1.19,0.78,1359.00,18.62,9.31,6.21,680.00,9.32,4.66,3.11,443.00,6.07,3.03,2.02
"Houma, LA",707.00,65.00,399.00,553.00,32.00,49.00,206176.00,37957.00,82470.00,17112.00,3662.00,1141.00,2.86,2.06,1.61,570.00,1.43,1.03,0.81,372.00,0.93,0.67,0.53,244.00,7.63,4.98,3.75,122.00,3.81,2.49,1.88,80.00,2.50,1.63,1.23
"Houston, TX",14062.00,1790.00,5130.00,9596.00,652.00,1221.00,5278689.00,769270.00,2111476.00,430413.00,90110.00,28694.00,5.59,2.99,2.04,14347.00,2.80,1.50,1.02,9357.00,1.82,0.98,0.67,6007.00,9.21,4.92,3.36,3004.00,4.61,2.46,1.68,1959.00,3.00,1.60,1.09
"Hudson, FL",1188.00,160.00,329.00,758.00,45.00,102.00,351228.00,112737.00,140491.00,30977.00,7107.00,2065.00,6.28,2.72,1.74,1033.00,3.14,1.36,0.87,673.00,2.05,0.89,0.57,474.00,10.53,4.65,2.96,237.00,5.27,2.32,1.48,154.00,3.42,1.51,0.96
"Huntington, WV",1561.00,162.00,382.00,971.00,64.00,113.00,276340.00,63341.00,110536.00,23409.00,5134.00,1561.00,4.09,1.61,1.00,780.00,2.04,0.80,0.50,509.00,1.33,0.52,0.33,342.00,5.34,3.03,2.11,171.00,2.67,1.51,1.06,112.00,1.75,0.99,0.69
"Huntsville, AL",1804.00,248.00,569.00,1187.00,59.00,154.00,506155.00,100153.00,202462.00,42274.00,9117.00,2818.00,4.95,2.37,1.56,1409.00,2.48,1.19,0.78,919.00,1.62,0.77,0.51,608.00,10.31,3.95,2.45,304.00,5.15,1.97,1.23,198.00,3.36,1.29,0.80
"Idaho Falls, ID",492.00,44.00,269.00,381.00,24.00,34.00,169856.00,28437.00,67942.00,13990.00,2966.00,933.00,3.47,2.45,1.90,466.00,1.73,1.22,0.95,304.00,1.13,0.80,0.62,198.00,8.25,5.82,4.50,99.00,4.13,2.91,2.25,64.00,2.67,1.88,1.45
"Indianapolis, IN",7441.00,1081.00,3350.00,5396.00,403.00,742.00,2249394.00,412838.00,899758.00,186642.00,39933.00,12443.00,3.71,2.31,1.67,6221.00,1.86,1.15,0.84,4057.00,1.21,0.75,0.55,2662.00,6.61,3.59,2.46,1331.00,3.30,1.79,1.23,868.00,2.15,1.17,0.80
"Iowa City, IA",1414.00,147.00,538.00,976.00,64.00,106.00,279218.00,53012.00,111687.00,23235.00,4989.00,1549.00,2.88,1.59,1.10,774.00,1.44,0.79,0.55,505.00,0.94,0.52,0.36,333.00,5.20,3.14,2.27,166.00,2.59,1.57,1.13,108.00,1.69,1.02,0.73
"Jackson, MS",4425.00,406.00,1964.00,3194.00,149.00,277.00,792834.00,152349.00,317134.00,66045.00,14198.00,4403.00,2.24,1.38,1.00,2202.00,1.12,0.69,0.50,1436.00,0.73,0.45,0.32,947.00,6.36,3.42,2.33,473.00,3.17,1.71,1.17,309.00,2.07,1.12,0.76
"Jackson, TN",1063.00,115.00,423.00,743.00,57.00,86.00,256100.00,58414.00,102440.00,21683.00,4752.00,1446.00,3.42,1.95,1.36,723.00,1.71,0.97,0.68,471.00,1.11,0.63,0.44,317.00,5.56,3.69,2.76,158.00,2.77,1.84,1.37,103.00,1.81,1.20,0.90
"Jacksonville, FL",4947.00,618.00,1625.00,3286.00,183.00,400.00,1340118.00,254567.00,536047.00,111522.00,23946.00,7435.00,4.58,2.26,1.50,3717.00,2.29,1.13,0.75,2424.00,1.49,0.74,0.49,1596.00,8.72,3.99,2.58,798.00,4.36,2.00,1.29,521.00,2.85,1.30,0.84
"Johnson City, TN",956.00,94.00,342.00,649.00,39.00,66.00,235522.00,51395.00,94209.00,19853.00,4329.00,1324.00,3.87,2.04,1.38,662.00,1.94,1.02,0.69,432.00,1.26,0.67,0.45,289.00,7.41,4.38,3.07,144.00,3.69,2.18,1.53,94.00,2.41,1.42,1.00
"Johnstown, PA",741.00,44.00,426.00,584.00,25.00,35.00,170816.00,45254.00,68326.00,14702.00,3283.00,980.00,2.30,1.68,1.32,490.00,1.15,0.84,0.66,320.00,0.75,0.55,0.43,219.00,8.76,6.26,4.98,109.00,4.36,3.11,2.48,71.00,2.84,2.03,1.61
"Joliet, IL",1376.00,149.00,662.00,1019.00,53.00,101.00,516812.00,90546.00,206725.00,42719.00,9097.00,2848.00,4.30,2.79,2.07,1424.00,2.15,1.40,1.03,929.00,1.40,0.91,0.68,606.00,11.43,6.00,4.07,303.00,5.72,3.00,2.03,198.00,3.74,1.96,1.33
"Jonesboro, AR",975.00,76.00,403.00,689.00,23.00,50.00,185969.00,38518.00,74388.00,15597.00,3381.00,1040.00,2.58,1.51,1.07,520.00,1.29,0.75,0.53,339.00,0.84,0.49,0.35,225.00,9.78,4.50,2.96,113.00,4.91,2.26,1.49,74.00,3.22,1.48,0.97
"Joplin, MO",1045.00,124.00,507.00,776.00,71.00,97.00,282798.00,63826.00,113119.00,23918.00,5236.00,1595.00,3.15,2.06,1.53,797.00,1.57,1.03,0.76,520.00,1.03,0.67,0.50,349.00,4.92,3.60,2.81,175.00,2.46,1.80,1.41,114.00,1.61,1.18,0.92
"Kalamazoo, MI",1462.00,139.00,681.00,1072.00,21.00,80.00,520196.00,104986.00,208078.00,43524.00,9407.00,2902.00,4.26,2.71,1.98,1451.00,2.13,1.35,0.99,946.00,1.39,0.88,0.65,627.00,29.86,7.84,4.51,314.00,14.95,3.93,2.26,204.00,9.71,2.55,1.47
"Kansas City, MO",6736.00,795.00,2646.00,4691.00,286.00,541.00,1950902.00,362250.00,780361.00,162034.00,34710.00,10802.00,4.08,2.30,1.60,5401.00,2.04,1.15,0.80,3522.00,1.33,0.75,0.52,2314.00,8.09,4.28,2.91,1157.00,4.05,2.14,1.46,755.00,2.64,1.40,0.95
"Kettering, OH",923.00,138.00,412.00,667.00,42.00,90.00,334281.00,73199.00,133712.00,28187.00,6148.00,1879.00,4.56,2.82,2.04,940.00,2.28,1.41,1.02,613.00,1.49,0.92,0.66,410.00,9.76,4.56,2.97,205.00,4.88,2.28,1.49,134.00,3.19,1.49,0.97
"Kingsport, TN",1485.00,185.00,668.00,1077.00,75.00,130.00,375852.00,93948.00,150341.00,32135.00,7123.00,2142.00,3.21,1.99,1.44,1071.00,1.60,0.99,0.72,699.00,1.05,0.65,0.47,475.00,6.33,3.65,2.57,237.00,3.16,1.82,1.28,155.00,2.07,1.19,0.84
"Knoxville, TN",3193.00,299.00,1198.00,2195.00,74.00,186.00,1108058.00,250729.00,443223.00,93740.00,20526.00,6249.00,5.22,2.85,1.96,3125.00,2.61,1.42,0.98,2038.00,1.70,0.93,0.64,1368.00,18.49,7.35,4.58,684.00,9.24,3.68,2.29,446.00,6.03,2.40,1.49
"La Crosse, WI",650.00,78.00,286.00,468.00,44.00,61.00,279590.00,60747.00,111836.00,23557.00,5134.00,1570.00,5.49,3.35,2.42,785.00,2.74,1.68,1.21,512.00,1.79,1.09,0.79,342.00,7.77,5.61,4.38,171.00,3.89,2.80,2.19,112.00,2.55,1.84,1.44
"Lafayette, IN",457.00,34.00,193.00,325.00,14.00,24.00,199535.00,31824.00,79814.00,16374.00,3456.00,1092.00,5.66,3.36,2.39,546.00,2.83,1.68,1.19,356.00,1.84,1.10,0.78,230.00,16.43,9.58,6.76,115.00,8.21,4.79,3.38,75.00,5.36,3.13,2.21
"Lafayette, LA",1716.00,188.00,700.00,1208.00,87.00,137.00,477559.00,85840.00,191024.00,39556.00,8445.00,2637.00,3.77,2.18,1.54,1319.00,1.88,1.09,0.77,860.00,1.23,0.71,0.50,563.00,6.47,4.11,2.99,282.00,3.24,2.06,1.50,184.00,2.11,1.34,0.98
"Lake Charles, LA",830.00,81.00,424.00,627.00,44.00,62.00,210604.00,37934.00,84242.00,17447.00,3726.00,1163.00,2.74,1.85,1.40,582.00,1.37,0.93,0.70,379.00,0.89,0.60,0.46,248.00,5.64,4.00,3.06,124.00,2.82,2.00,1.53,81.00,1.84,1.31,1.00
"Lakeland, FL",1046.00,103.00,382.00,714.00,57.00,80.00,317384.00,73118.00,126954.00,26900.00,5903.00,1793.00,4.69,2.51,1.71,897.00,2.35,1.26,0.86,585.00,1.53,0.82,0.56,394.00,6.91,4.93,3.83,197.00,3.46,2.46,1.91,128.00,2.25,1.60,1.24
"Lancaster, PA",1081.00,98.00,468.00,774.00,40.00,69.00,528715.00,112509.00,211486.00,44458.00,9665.00,2964.00,6.33,3.83,2.74,1482.00,3.17,1.91,1.37,966.00,2.06,1.25,0.89,644.00,16.10,9.33,6.57,322.00,8.05,4.67,3.29,210.00,5.25,3.04,2.14
"Lansing, MI",1444.00,240.00,632.00,1038.00,115.00,177.00,561636.00,102892.00,224654.00,46594.00,9967.00,3106.00,4.91,2.99,2.15,1553.00,2.46,1.50,1.08,1013.00,1.60,0.98,0.70,664.00,5.77,3.75,2.77,332.00,2.89,1.88,1.38,217.00,1.89,1.23,0.90
"Las Vegas, NV",4165.00,761.00,1088.00,2626.00,162.00,462.00,1704994.00,321669.00,681998.00,141803.00,30426.00,9454.00,8.69,3.60,2.27,4727.00,4.34,1.80,1.13,3083.00,2.83,1.17,0.74,2028.00,12.52,4.39,2.66,1014.00,6.26,2.19,1.33,661.00,4.08,1.43,0.87
"Lawton, OK",733.00,76.00,346.00,539.00,32.00,54.00,152745.00,28422.00,61098.00,12689.00,2719.00,846.00,2.45,1.57,1.15,423.00,1.22,0.78,0.58,276.00,0.80,0.51,0.38,181.00,5.66,3.35,2.38,91.00,2.84,1.69,1.20,59.00,1.84,1.09,0.78
"Lebanon, NH",939.00,105.00,333.00,636.00,56.00,80.00,320499.00,77792.00,128200.00,27314.00,6032.00,1821.00,5.47,2.86,1.94,910.00,2.73,1.43,0.97,594.00,1.78,0.93,0.63,402.00,7.18,5.03,3.83,201.00,3.59,2.51,1.91,131.00,2.34,1.64,1.25
"Lexington, KY",5045.00,579.00,2073.00,3559.00,172.00,375.00,1192842.00,231348.00,477137.00,99447.00,21400.00,6630.00,3.20,1.86,1.31,3315.00,1.60,0.93,0.66,2162.00,1.04,0.61,0.43,1427.00,8.30,3.81,2.46,713.00,4.15,1.90,1.23,465.00,2.70,1.24,0.80
"Lincoln, NE",2047.00,116.00,1016.00,1532.00,33.00,75.00,459005.00,93970.00,183602.00,38455.00,8324.00,2564.00,2.52,1.67,1.25,1282.00,1.26,0.84,0.63,836.00,0.82,0.55,0.41,555.00,16.82,7.40,4.78,277.00,8.39,3.69,2.39,181.00,5.48,2.41,1.56
"Little Rock, AR",4854.00,520.00,2174.00,3514.00,177.00,348.00,1212482.00,258840.00,484993.00,101985.00,22180.00,6799.00,3.13,1.93,1.40,3400.00,1.56,0.97,0.70,2217.00,1.02,0.63,0.46,1479.00,8.36,4.25,2.84,739.00,4.18,2.12,1.42,482.00,2.72,1.39,0.93
"Longview, TX",224.00,45.00,98.00,161.00,21.00,33.00,161316.00,33367.00,64526.00,13528.00,2932.00,902.00,9.20,5.60,4.03,451.00,4.60,2.80,2.01,294.00,3.00,1.83,1.31,195.00,9.29,5.91,4.33,98.00,4.67,2.97,2.18,64.00,3.05,1.94,1.42
"Los Angeles, CA",19492.00,2415.00,6594.00,13043.00,942.00,1679.00,7874162.00,1268093.00,3149665.00,646624.00,136592.00,43108.00,6.54,3.31,2.21,21554.00,3.27,1.65,1.11,14057.00,2.13,1.08,0.72,9106.00,9.67,5.42,3.77,4553.00,4.83,2.71,1.89,2969.00,3.15,1.77,1.23
"Louisville, KY",4162.00,506.00,1700.00,2931.00,165.00,335.00,1385741.00,271762.00,554296.00,115643.00,24915.00,7710.00,4.54,2.63,1.85,3855.00,2.27,1.32,0.93,2514.00,1.48,0.86,0.60,1661.00,10.07,4.96,3.28,830.00,5.03,2.48,1.64,542.00,3.28,1.62,1.07
"Lubbock, TX",1811.00,298.00,922.00,1367.00,85.00,191.00,546461.00,91980.00,218584.00,45026.00,9551.00,3002.00,3.26,2.20,1.66,1501.00,1.63,1.10,0.83,979.00,1.06,0.72,0.54,637.00,7.49,3.34,2.14,318.00,3.74,1.66,1.07,208.00,2.45,1.09,0.70
"Lynchburg, VA",1174.00,55.00,309.00,741.00,20.00,37.00,217344.00,49862.00,86938.00,18413.00,4038.00,1228.00,3.97,1.66,1.05,614.00,1.99,0.83,0.52,400.00,1.29,0.54,0.34,269.00,13.45,7.27,4.89,135.00,6.75,3.65,2.45,88.00,4.40,2.38,1.60
"Macon, GA",2295.00,240.00,865.00,1580.00,57.00,149.00,568689.00,111226.00,227476.00,47447.00,10220.00,3163.00,3.66,2.00,1.38,1582.00,1.83,1.00,0.69,1031.00,1.19,0.65,0.45,681.00,11.95,4.57,2.84,341.00,5.98,2.29,1.42,222.00,3.89,1.49,0.93
"Madison, WI",2443.00,267.00,838.00,1640.00,121.00,194.00,886932.00,165619.00,354773.00,73700.00,15797.00,4913.00,5.86,3.00,2.01,2457.00,2.93,1.50,1.01,1602.00,1.91,0.98,0.66,1053.00,8.70,5.43,3.94,527.00,4.36,2.72,1.97,343.00,2.83,1.77,1.28
"Manchester, NH",1603.00,137.00,582.00,1092.00,53.00,95.00,714679.00,143594.00,285872.00,59772.00,12912.00,3985.00,6.85,3.65,2.49,1992.00,3.42,1.82,1.24,1299.00,2.23,1.19,0.81,861.00,16.25,9.06,6.28,430.00,8.11,4.53,3.14,281.00,5.30,2.96,2.05
"Manhattan, NY",14834.00,1427.00,3059.00,8946.00,616.00,1021.00,4173437.00,725342.00,1669375.00,344744.00,73357.00,22983.00,7.51,2.57,1.55,11491.00,3.76,1.28,0.77,7494.00,2.45,0.84,0.51,4890.00,7.94,4.79,3.43,2445.00,3.97,2.39,1.71,1595.00,2.59,1.56,1.12
"Marquette, MI",601.00,47.00,276.00,438.00,18.00,32.00,159278.00,39415.00,63711.00,13603.00,3011.00,907.00,3.29,2.07,1.51,453.00,1.64,1.03,0.75,296.00,1.07,0.68,0.49,201.00,11.17,6.28,4.28,100.00,5.56,3.13,2.13,65.00,3.61,2.03,1.38
"Marshfield, WI",706.00,68.00,281.00,494.00,34.00,51.00,295582.00,70770.00,118233.00,25154.00,5546.00,1677.00,5.97,3.39,2.38,838.00,2.98,1.70,1.19,547.00,1.95,1.11,0.77,370.00,10.88,7.25,5.44,185.00,5.44,3.63,2.72,121.00,3.56,2.37,1.78
"Mason City, IA",470.00,18.00,239.00,354.00,6.00,12.00,100326.00,26837.00,40130.00,8644.00,1933.00,576.00,2.41,1.63,1.23,288.00,1.21,0.81,0.61,188.00,0.79,0.53,0.40,129.00,21.50,10.75,7.17,64.00,10.67,5.33,3.56,42.00,7.00,3.50,2.33
"McAllen, TX",1938.00,350.00,849.00,1394.00,133.00,241.00,486579.00,74033.00,194632.00,39793.00,8363.00,2653.00,3.12,1.90,1.37,1326.00,1.56,0.95,0.68,865.00,1.02,0.62,0.45,558.00,4.20,2.32,1.59,279.00,2.10,1.16,0.80,182.00,1.37,0.76,0.52
"Medford, OR",855.00,72.00,369.00,612.00,25.00,49.00,351154.00,95565.00,140462.00,30319.00,6796.00,2021.00,5.48,3.30,2.36,1011.00,2.74,1.65,1.18,659.00,1.79,1.08,0.77,453.00,18.12,9.24,6.29,227.00,9.08,4.63,3.15,148.00,5.92,3.02,2.06
