HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Erie, PA",1904.00,184.00,706.00,1305.00,88.00,136.00,561138.00,130069.00,112228.00,23795.00,5225.00,1586.00,2.25,1.22,0.83,793.00,1.12,0.61,0.42,517.00,0.73,0.40,0.27,348.00,3.95,2.56,1.89,174.00,1.98,1.28,0.95,114.00,1.30,0.84,0.62
"Eugene, OR",1208.00,138.00,416.00,812.00,64.00,101.00,603572.00,141016.00,120714.00,25615.00,5630.00,1708.00,4.11,2.10,1.41,854.00,2.05,1.05,0.71,557.00,1.34,0.69,0.46,375.00,5.86,3.71,2.72,188.00,2.94,1.86,1.36,122.00,1.91,1.21,0.88
"Evanston, IL",2032.00,332.00,666.00,1349.00,137.00,234.00,711961.00,162705.00,142392.00,30146.00,6609.00,2010.00,3.02,1.49,0.99,1005.00,1.51,0.74,0.49,655.00,0.98,0.49,0.32,441.00,3.22,1.88,1.33,220.00,1.61,0.94,0.66,144.00,1.05,0.62,0.43
"Evansville, IN",2154.00,328.00,1050.00,1602.00,157.00,243.00,528945.00,115347.00,105789.00,22292.00,4860.00,1486.00,1.42,0.93,0.69,743.00,0.71,0.46,0.34,485.00,0.46,0.30,0.23,324.00,2.06,1.33,0.99,162.00,1.03,0.67,0.49,106.00,0.68,0.44,0.32
"Everett, WA",951.00,83.00,319.00,635.00,26.00,55.00,542404.00,104811.00,108481.00,22603.00,4862.00,1507.00,4.72,2.37,1.58,753.00,2.36,1.19,0.79,491.00,1.54,0.77,0.52,324.00,12.46,5.89,3.90,162.00,6.23,2.95,1.95,106.00,4.08,1.93,1.28
"Fargo/Moorhead MN, ND",1872.00,180.00,734.00,1303.00,48.00,114.00,432080.00,90275.00,86416.00,18134.00,3934.00,1209.00,1.65,0.93,0.65,604.00,0.82,0.46,0.32,394.00,0.54,0.30,0.21,262.00,5.46,2.30,1.46,131.00,2.73,1.15,0.73,86.00,1.79,0.75,0.48
"Flint, MI",1375.00,161.00,458.00,916.00,58.00,109.00,426480.00,89340.00,85296.00,17904.00,3885.00,1194.00,2.61,1.30,0.87,597.00,1.30,0.65,0.43,389.00,0.85,0.42,0.28,259.00,4.47,2.38,1.61,130.00,2.24,1.19,0.81,84.00,1.45,0.77,0.52
"Florence, SC",1248.00,224.00,481.00,865.00,79.00,151.00,287862.00,62812.00,57572.00,12132.00,2645.00,809.00,1.68,0.94,0.65,404.00,0.84,0.47,0.32,264.00,0.55,0.31,0.21,176.00,2.23,1.17,0.79,88.00,1.11,0.58,0.39,58.00,0.73,0.38,0.26
"Fort Collins, CO",704.00,31.00,341.00,523.00,14.00,22.00,287995.00,47223.00,57599.00,11841.00,2506.00,789.00,2.31,1.51,1.12,395.00,1.16,0.76,0.56,257.00,0.75,0.49,0.37,167.00,11.93,7.59,5.39,84.00,6.00,3.82,2.71,54.00,3.86,2.45,1.74
"Fort Lauderdale, FL",7323.00,908.00,2753.00,5038.00,292.00,600.00,2396614.00,619365.00,479323.00,102839.00,22893.00,6856.00,2.49,1.36,0.94,3428.00,1.25,0.68,0.47,2236.00,0.81,0.44,0.31,1526.00,5.23,2.54,1.68,763.00,2.61,1.27,0.84,498.00,1.71,0.83,0.55
"Fort Myers, FL",3115.00,268.00,1089.00,2102.00,97.00,182.00,1079022.00,373713.00,215804.00,48103.00,11163.00,3207.00,2.94,1.53,1.03,1603.00,1.47,0.76,0.51,1046.00,0.96,0.50,0.34,744.00,7.67,4.09,2.78,372.00,3.84,2.04,1.39,243.00,2.51,1.34,0.91
"Fort Smith, AR",931.00,87.00,487.00,709.00,55.00,71.00,281971.00,62427.00,56394.00,11901.00,2599.00,793.00,1.63,1.12,0.85,397.00,0.82,0.56,0.43,259.00,0.53,0.37,0.28,173.00,3.15,2.44,1.99,87.00,1.58,1.23,1.00,56.00,1.02,0.79,0.64
"Fort Wayne, IN",2442.00,376.00,1038.00,1740.00,143.00,259.00,651379.00,132442.00,130276.00,27269.00,5898.00,1818.00,1.75,1.04,0.74,909.00,0.88,0.52,0.37,593.00,0.57,0.34,0.24,393.00,2.75,1.52,1.05,197.00,1.38,0.76,0.52,128.00,0.90,0.49,0.34
"Fort Worth, TX",4200.00,501.00,1400.00,2800.00,187.00,344.00,1764292.00,277941.00,352858.00,72324.00,15247.00,4822.00,3.44,1.72,1.15,2411.00,1.72,0.86,0.57,1572.00,1.12,0.56,0.37,1016.00,5.43,2.95,2.03,508.00,2.72,1.48,1.01,331.00,1.77,0.96,0.66
"Fresno, CA",1935.00,205.00,547.00,1241.00,77.00,141.00,918145.00,146620.00,183629.00,37675.00,7952.00,2512.00,4.59,2.02,1.30,1256.00,2.30,1.01,0.65,819.00,1.50,0.66,0.42,530.00,6.88,3.76,2.59,265.00,3.44,1.88,1.29,173.00,2.25,1.23,0.84
"Gainesville, FL",1834.00,303.00,469.00,1152.00,88.00,195.00,464038.00,96829.00,92808.00,19473.00,4224.00,1298.00,2.77,1.13,0.71,649.00,1.38,0.56,0.35,423.00,0.90,0.37,0.23,282.00,3.20,1.45,0.93,141.00,1.60,0.72,0.47,92.00,1.05,0.47,0.30
"Gary, IN",1434.00,179.00,638.00,1036.00,95.00,137.00,392167.00,80990.00,78433.00,16441.00,3562.00,1096.00,1.72,1.06,0.76,548.00,0.86,0.53,0.38,357.00,0.56,0.34,0.25,237.00,2.49,1.73,1.32,119.00,1.25,0.87,0.66,77.00,0.81,0.56,0.43
"Grand Forks, ND",952.00,31.00,374.00,663.00,18.00,24.00,130084.00,25793.00,26017.00,5433.00,1172.00,362.00,0.97,0.55,0.38,181.00,0.48,0.27,0.19,118.00,0.32,0.18,0.12,78.00,4.33,3.25,2.52,39.00,2.17,1.63,1.26,25.00,1.39,1.04,0.81
"Grand Junction, CO",696.00,75.00,321.00,509.00,33.00,54.00,270519.00,57077.00,54104.00,11364.00,2468.00,758.00,2.36,1.49,1.09,379.00,1.18,0.74,0.54,247.00,0.77,0.49,0.35,165.00,5.00,3.06,2.20,82.00,2.48,1.52,1.09,54.00,1.64,1.00,0.72
"Grand Rapids, MI",2440.00,236.00,957.00,1699.00,86.00,161.00,933913.00,171359.00,186783.00,38745.00,8289.00,2583.00,2.70,1.52,1.06,1292.00,1.35,0.76,0.53,842.00,0.88,0.50,0.35,553.00,6.43,3.43,2.34,276.00,3.21,1.71,1.17,180.00,2.09,1.12,0.76
"Great Falls, MT",937.00,50.00,367.00,652.00,27.00,39.00,114922.00,25583.00,22984.00,4853.00,1061.00,324.00,0.88,0.50,0.35,162.00,0.44,0.25,0.17,106.00,0.29,0.16,0.11,71.00,2.63,1.82,1.42,35.00,1.30,0.90,0.70,23.00,0.85,0.59,0.46
"Greeley, CO",792.00,79.00,396.00,594.00,28.00,54.00,294267.00,55594.00,58853.00,12238.00,2626.00,816.00,2.06,1.37,1.03,408.00,1.03,0.69,0.52,266.00,0.67,0.45,0.34,175.00,6.25,3.24,2.22,88.00,3.14,1.63,1.11,57.00,2.04,1.06,0.72
"Green Bay, WI",990.00,112.00,498.00,744.00,43.00,77.00,402953.00,88095.00,80591.00,16986.00,3704.00,1132.00,2.27,1.52,1.14,566.00,1.14,0.76,0.57,369.00,0.74,0.50,0.37,247.00,5.74,3.21,2.21,123.00,2.86,1.60,1.10,81.00,1.88,1.05,0.72
"Greensboro, NC",1224.00,135.00,362.00,793.00,47.00,91.00,505727.00,100544.00,101145.00,21128.00,4559.00,1409.00,3.89,1.78,1.15,704.00,1.94,0.89,0.58,459.00,1.27,0.58,0.38,304.00,6.47,3.34,2.25,152.00,3.23,1.67,1.13,99.00,2.11,1.09,0.73
"Greenville, NC",1977.00,339.00,631.00,1304.00,115.00,227.00,679309.00,136432.00,135862.00,28406.00,6136.00,1894.00,3.00,1.45,0.96,947.00,1.50,0.73,0.48,618.00,0.98,0.47,0.31,409.00,3.56,1.80,1.21,205.00,1.78,0.90,0.60,133.00,1.16,0.59,0.39
"Greenville, SC",2217.00,282.00,798.00,1507.00,41.00,161.00,743619.00,153533.00,148724.00,31175.00,6755.00,2078.00,2.60,1.38,0.94,1039.00,1.30,0.69,0.47,678.00,0.85,0.45,0.31,450.00,10.98,2.80,1.60,225.00,5.49,1.40,0.80,147.00,3.59,0.91,0.52
"Gulfport, MS",609.00,80.00,287.00,448.00,40.00,60.00,159671.00,28559.00,31934.00,6610.00,1411.00,441.00,1.54,0.98,0.72,220.00,0.77,0.49,0.36,144.00,0.50,0.32,0.24,94.00,2.35,1.57,1.18,47.00,1.18,0.78,0.59,31.00,0.78,0.52,0.39
"Hackensack, NJ",3819.00,175.00,1057.00,2438.00,98.00,137.00,1048868.00,200075.00,209774.00,43658.00,9379.00,2911.00,2.75,1.19,0.76,1455.00,1.38,0.60,0.38,949.00,0.90,0.39,0.25,625.00,6.38,4.56,3.57,313.00,3.19,2.28,1.79,204.00,2.08,1.49,1.17
"Harlingen, TX",1145.00,120.00,536.00,840.00,44.00,82.00,418633.00,76061.00,83727.00,17353.00,3709.00,1157.00,2.16,1.38,1.01,578.00,1.08,0.69,0.50,377.00,0.70,0.45,0.33,247.00,5.61,3.01,2.06,124.00,2.82,1.51,1.03,81.00,1.84,0.99,0.68
"Harrisburg, PA",2426.00,211.00,929.00,1677.00,61.00,136.00,825408.00,183199.00,165082.00,34846.00,7613.00,2323.00,2.50,1.39,0.96,1162.00,1.25,0.69,0.48,758.00,0.82,0.45,0.31,508.00,8.33,3.74,2.41,254.00,4.16,1.87,1.20,166.00,2.72,1.22,0.79
"Hartford, CT",2855.00,323.00,751.00,1803.00,115.00,219.00,1196337.00,245503.00,239267.00,50125.00,10853.00,3342.00,4.45,1.85,1.17,1671.00,2.23,0.93,0.59,1090.00,1.45,0.60,0.38,724.00,6.30,3.31,2.24,362.00,3.15,1.65,1.12,236.00,2.05,1.08,0.73
"Hattiesburg, MS",1546.00,85.00,504.00,1025.00,30.00,57.00,240419.00,46076.00,48084.00,10011.00,2152.00,667.00,1.32,0.65,0.43,334.00,0.66,0.33,0.22,218.00,0.43,0.21,0.14,143.00,4.77,2.51,1.68,72.00,2.40,1.26,0.85,47.00,1.57,0.82,0.55
"Hickory, NC",603.00,64.00,253.00,428.00,25.00,45.00,229268.00,51364.00,45854.00,9688.00,2119.00,646.00,2.55,1.51,1.07,323.00,1.28,0.75,0.54,211.00,0.83,0.49,0.35,141.00,5.64,3.13,2.20,71.00,2.84,1.58,1.11,46.00,1.84,1.02,0.72
"Hinsdale, IL",1041.00,172.00,402.00,721.00,89.00,130.00,385733.00,67856.00,77147.00,15947.00,3397.00,1063.00,2.64,1.47,1.02,532.00,1.32,0.74,0.51,347.00,0.86,0.48,0.33,226.00,2.54,1.74,1.31,113.00,1.27,0.87,0.66,74.00,0.83,0.57,0.43
"Honolulu, HI",2623.00,219.00,795.00,1709.00,73.00,146.00,1114023.00,238126.00,222805.00,46857.00,10192.00,3124.00,3.93,1.83,1.19,1562.00,1.96,0.91,0.60,1019.00,1.28,0.60,0.39,679.00,9.30,4.65,3.10,340.00,4.66,2.33,1.55,222.00,3.04,1.52,1.01
"Houma, LA",707.00,65.00,399.00,553.00,32.00,49.00,206176.00,37957.00,41235.00,8556.00,1831.00,570.00,1.43,1.03,0.81,285.00,0.71,0.52,0.40,186.00,0.47,0.34,0.26,122.00,3.81,2.49,1.88,61.00,1.91,1.24,0.94,40.00,1.25,0.82,0.62
"Houston, TX",14062.00,1790.00,5130.00,9596.00,652.00,1221.00,5278689.00,769270.00,1055738.00,215206.00,45055.00,14347.00,2.80,1.50,1.02,7174.00,1.40,0.75,0.51,4678.00,0.91,0.49,0.33,3004.00,4.61,2.46,1.68,1502.00,2.30,1.23,0.84,979.00,1.50,0.80,0.55
"Hudson, FL",1188.00,160.00,329.00,758.00,45.00,102.00,351228.00,112737.00,70246.00,15489.00,3553.00,1033.00,3.14,1.36,0.87,516.00,1.57,0.68,0.43,337.00,1.02,0.44,0.28,237.00,5.27,2.32,1.48,118.00,2.62,1.16,0.74,77.00,1.71,0.75,0.48
"Huntington, WV",1561.00,162.00,382.00,971.00,64.00,113.00,276340.00,63341.00,55268.00,11704.00,2567.00,780.00,2.04,0.80,0.50,390.00,1.02,0.40,0.25,254.00,0.66,0.26,0.16,171.00,2.67,1.51,1.06,86.00,1.34,0.76,0.53,56.00,0.88,0.50,0.35
"Huntsville, AL",1804.00,248.00,569.00,1187.00,59.00,154.00,506155.00,100153.00,101231.00,21137.00,4558.00,1409.00,2.48,1.19,0.78,705.00,1.24,0.59,0.39,460.00,0.81,0.39,0.25,304.00,5.15,1.97,1.23,152.00,2.58,0.99,0.61,99.00,1.68,0.64,0.40
"Idaho Falls, ID",492.00,44.00,269.00,381.00,24.00,34.00,169856.00,28437.00,33971.00,6995.00,1483.00,466.00,1.73,1.22,0.95,233.00,0.87,0.61,0.47,152.00,0.57,0.40,0.31,99.00,4.13,2.91,2.25,49.00,2.04,1.44,1.11,32.00,1.33,0.94,0.73
"Indianapolis, IN",7441.00,1081.00,3350.00,5396.00,403.00,742.00,2249394.00,412838.00,449879.00,93321.00,19966.00,6221.00,1.86,1.15,0.84,3111.00,0.93,0.58,0.42,2029.00,0.61,0.38,0.27,1331.00,3.30,1.79,1.23,666.00,1.65,0.90,0.62,434.00,1.08,0.58,0.40
"Iowa City, IA",1414.00,147.00,538.00,976.00,64.00,106.00,279218.00,53012.00,55844.00,11618.00,2494.00,775.00,1.44,0.79,0.55,387.00,0.72,0.40,0.27,253.00,0.47,0.26,0.18,166.00,2.59,1.57,1.13,83.00,1.30,0.78,0.56,54.00,0.84,0.51,0.37
"Jackson, MS",4425.00,406.00,1964.00,3194.00,149.00,277.00,792834.00,152349.00,158567.00,33022.00,7099.00,2201.00,1.12,0.69,0.50,1101.00,0.56,0.34,0.25,718.00,0.37,0.22,0.16,473.00,3.17,1.71,1.17,237.00,1.59,0.86,0.58,154.00,1.03,0.56,0.38
"Jackson, TN",1063.00,115.00,423.00,743.00,57.00,86.00,256100.00,58414.00,51220.00,10842.00,2376.00,723.00,1.71,0.97,0.68,361.00,0.85,0.49,0.34,236.00,0.56,0.32,0.22,158.00,2.77,1.84,1.37,79.00,1.39,0.92,0.69,52.00,0.91,0.60,0.45
"Jacksonville, FL",4947.00,618.00,1625.00,3286.00,183.00,400.00,1340118.00,254567.00,268024.00,55761.00,11973.00,3717.00,2.29,1.13,0.75,1859.00,1.14,0.57,0.38,1212.00,0.75,0.37,0.24,798.00,4.36,2.00,1.29,399.00,2.18,1.00,0.65,260.00,1.42,0.65,0.42
"Johnson City, TN",956.00,94.00,342.00,649.00,39.00,66.00,235522.00,51395.00,47104.00,9926.00,2164.00,662.00,1.94,1.02,0.69,331.00,0.97,0.51,0.35,216.00,0.63,0.33,0.23,144.00,3.69,2.18,1.53,72.00,1.85,1.09,0.77,47.00,1.21,0.71,0.50
"Johnstown, PA",741.00,44.00,426.00,584.00,25.00,35.00,170816.00,45254.00,34163.00,7351.00,1642.00,490.00,1.15,0.84,0.66,245.00,0.58,0.42,0.33,160.00,0.38,0.27,0.22,109.00,4.36,3.11,2.48,55.00,2.20,1.57,1.25,36.00,1.44,1.03,0.82
"Joliet, IL",1376.00,149.00,662.00,1019.00,53.00,101.00,516812.00,90546.00,103362.00,21359.00,4549.00,1424.00,2.15,1.40,1.03,712.00,1.08,0.70,0.52,464.00,0.70,0.46,0.34,303.00,5.72,3.00,2.03,152.00,2.87,1.50,1.02,99.00,1.87,0.98,0.66
"Jonesboro, AR",975.00,76.00,403.00,689.00,23.00,50.00,185969.00,38518.00,37194.00,7799.00,1690.00,520.00,1.29,0.75,0.53,260.00,0.65,0.38,0.27,170.00,0.42,0.25,0.17,113.00,4.91,2.26,1.49,56.00,2.43,1.12,0.74,37.00,1.61,0.74,0.49
"Joplin, MO",1045.00,124.00,507.00,776.00,71.00,97.00,282798.00,63826.00,56560.00,11959.00,2618.00,797.00,1.57,1.03,0.76,399.00,0.79,0.51,0.38,260.00,0.51,0.34,0.25,175.00,2.46,1.80,1.41,87.00,1.23,0.90,0.70,57.00,0.80,0.59,0.46
"Kalamazoo, MI",1462.00,139.00,681.00,1072.00,21.00,80.00,520196.00,104986.00,104039.00,21762.00,4703.00,1451.00,2.13,1.35,0.99,725.00,1.06,0.68,0.50,473.00,0.69,0.44,0.32,314.00,14.95,3.93,2.26,157.00,7.48,1.96,1.13,102.00,4.86,1.28,0.73
"Kansas City, MO",6736.00,795.00,2646.00,4691.00,286.00,541.00,1950902.00,362250.00,390180.00,81017.00,17355.00,5401.00,2.04,1.15,0.80,2701.00,1.02,0.58,0.40,1761.00,0.67,0.38,0.26,1157.00,4.05,2.14,1.46,578.00,2.02,1.07,0.73,377.00,1.32,0.70,0.47
"Kettering, OH",923.00,138.00,412.00,667.00,42.00,90.00,334281.00,73199.00,66856.00,14093.00,3074.00,940.00,2.28,1.41,1.02,470.00,1.14,0.70,0.51,306.00,0.74,0.46,0.33,205.00,4.88,2.28,1.49,102.00,2.43,1.13,0.74,67.00,1.60,0.74,0.49
"Kingsport, TN",1485.00,185.00,668.00,1077.00,75.00,130.00,375852.00,93948.00,75170.00,16067.00,3562.00,1071.00,1.60,0.99,0.72,536.00,0.80,0.50,0.36,349.00,0.52,0.32,0.24,237.00,3.16,1.82,1.28,119.00,1.59,0.92,0.64,77.00,1.03,0.59,0.42
"Knoxville, TN",3193.00,299.00,1198.00,2195.00,74.00,186.00,1108058.00,250729.00,221612.00,46870.00,10263.00,3125.00,2.61,1.42,0.98,1562.00,1.30,0.71,0.49,1019.00,0.85,0.46,0.32,684.00,9.24,3.68,2.29,342.00,4.62,1.84,1.14,223.00,3.01,1.20,0.75
"La Crosse, WI",650.00,78.00,286.00,468.00,44.00,61.00,279590.00,60747.00,55918.00,11779.00,2567.00,785.00,2.74,1.68,1.21,393.00,1.37,0.84,0.60,256.00,0.90,0.55,0.39,171.00,3.89,2.80,2.19,86.00,1.95,1.41,1.10,56.00,1.27,0.92,0.72
"Lafayette, IN",457.00,34.00,193.00,325.00,14.00,24.00,199535.00,31824.00,39907.00,8187.00,1728.00,546.00,2.83,1.68,1.19,273.00,1.41,0.84,0.60,178.00,0.92,0.55,0.39,115.00,8.21,4.79,3.38,58.00,4.14,2.42,1.71,38.00,2.71,1.58,1.12
"Lafayette, LA",1716.00,188.00,700.00,1208.00,87.00,137.00,477559.00,85840.00,95512.00,19778.00,4223.00,1319.00,1.88,1.09,0.77,659.00,0.94,0.55,0.38,430.00,0.61,0.36,0.25,282.00,3.24,2.06,1.50,141.00,1.62,1.03,0.75,92.00,1.06,0.67,0.49
"Lake Charles, LA",830.00,81.00,424.00,627.00,44.00,62.00,210604.00,37934.00,42121.00,8724.00,1863.00,582.00,1.37,0.93,0.70,291.00,0.69,0.46,0.35,190.00,0.45,0.30,0.23,124.00,2.82,2.00,1.53,62.00,1.41,1.00,0.77,40.00,0.91,0.65,0.49
"Lakeland, FL",1046.00,103.00,382.00,714.00,57.00,80.00,317384.00,73118.00,63477.00,13450.00,2951.00,897.00,2.35,1.26,0.86,448.00,1.17,0.63,0.43,292.00,0.76,0.41,0.28,197.00,3.46,2.46,1.91,98.00,1.72,1.23,0.95,64.00,1.12,0.80,0.62
"Lancaster, PA",1081.00,98.00,468.00,774.00,40.00,69.00,528715.00,112509.00,105743.00,22229.00,4833.00,1482.00,3.17,1.91,1.37,741.00,1.58,0.96,0.69,483.00,1.03,0.62,0.45,322.00,8.05,4.67,3.29,161.00,4.03,2.33,1.64,105.00,2.63,1.52,1.07
"Lansing, MI",1444.00,240.00,632.00,1038.00,115.00,177.00,561636.00,102892.00,112327.00,23297.00,4984.00,1553.00,2.46,1.50,1.08,777.00,1.23,0.75,0.54,506.00,0.80,0.49,0.35,332.00,2.89,1.88,1.38,166.00,1.44,0.94,0.69,108.00,0.94,0.61,0.45
"Las Vegas, NV",4165.00,761.00,1088.00,2626.00,162.00,462.00,1704994.00,321669.00,340999.00,70902.00,15213.00,4727.00,4.34,1.80,1.13,2363.00,2.17,0.90,0.57,1541.00,1.42,0.59,0.37,1014.00,6.26,2.19,1.33,507.00,3.13,1.10,0.67,331.00,2.04,0.72,0.43
"Lawton, OK",733.00,76.00,346.00,539.00,32.00,54.00,152745.00,28422.00,30549.00,6344.00,1359.00,423.00,1.22,0.78,0.58,211.00,0.61,0.39,0.29,138.00,0.40,0.26,0.19,91.00,2.84,1.69,1.20,45.00,1.41,0.83,0.59,30.00,0.94,0.56,0.39
"Lebanon, NH",939.00,105.00,333.00,636.00,56.00,80.00,320499.00,77792.00,64100.00,13657.00,3016.00,910.00,2.73,1.43,0.97,455.00,1.37,0.72,0.48,297.00,0.89,0.47,0.32,201.00,3.59,2.51,1.91,101.00,1.80,1.26,0.96,66.00,1.18,0.83,0.63
"Lexington, KY",5045.00,579.00,2073.00,3559.00,172.00,375.00,1192842.00,231348.00,238568.00,49724.00,10700.00,3315.00,1.60,0.93,0.66,1657.00,0.80,0.47,0.33,1081.00,0.52,0.30,0.21,713.00,4.15,1.90,1.23,357.00,2.08,0.95,0.62,233.00,1.35,0.62,0.40
"Lincoln, NE",2047.00,116.00,1016.00,1532.00,33.00,75.00,459005.00,93970.00,91801.00,19228.00,4162.00,1282.00,1.26,0.84,0.63,641.00,0.63,0.42,0.31,418.00,0.41,0.27,0.20,277.00,8.39,3.69,2.39,139.00,4.21,1.85,1.20,90.00,2.73,1.20,0.78
"Little Rock, AR",4854.00,520.00,2174.00,3514.00,177.00,348.00,1212482.00,258840.00,242496.00,50992.00,11090.00,3399.00,1.56,0.97,0.70,1700.00,0.78,0.48,0.35,1109.00,0.51,0.32,0.23,739.00,4.18,2.12,1.42,370.00,2.09,1.06,0.71,241.00,1.36,0.69,0.46
"Longview, TX",224.00,45.00,98.00,161.00,21.00,33.00,161316.00,33367.00,32263.00,6764.00,1466.00,451.00,4.60,2.80,2.01,225.00,2.30,1.40,1.00,147.00,1.50,0.91,0.66,98.00,4.67,2.97,2.18,49.00,2.33,1.48,1.09,32.00,1.52,0.97,0.71
"Los Angeles, CA",19492.00,2415.00,6594.00,13043.00,942.00,1679.00,7874162.00,1268093.00,1574832.00,323312.00,68296.00,21554.00,3.27,1.65,1.11,10777.00,1.63,0.83,0.55,7029.00,1.07,0.54,0.36,4553.00,4.83,2.71,1.89,2277.00,2.42,1.36,0.94,1485.00,1.58,0.88,0.61
"Louisville, KY",4162.00,506.00,1700.00,2931.00,165.00,335.00,1385741.00,271762.00,277148.00,57822.00,12458.00,3855.00,2.27,1.32,0.93,1927.00,1.13,0.66,0.46,1257.00,0.74,0.43,0.30,831.00,5.04,2.48,1.64,415.00,2.52,1.24,0.82,271.00,1.64,0.81,0.54
"Lubbock, TX",1811.00,298.00,922.00,1367.00,85.00,191.00,546461.00,91980.00,109292.00,22513.00,4776.00,1501.00,1.63,1.10,0.83,750.00,0.81,0.55,0.41,489.00,0.53,0.36,0.27,318.00,3.74,1.66,1.07,159.00,1.87,0.83,0.53,104.00,1.22,0.54,0.35
"Lynchburg, VA",1174.00,55.00,309.00,741.00,20.00,37.00,217344.00,49862.00,43469.00,9206.00,2019.00,614.00,1.99,0.83,0.52,307.00,0.99,0.41,0.26,200.00,0.65,0.27,0.17,135.00,6.75,3.65,2.45,67.00,3.35,1.81,1.22,44.00,2.20,1.19,0.80
"Macon, GA",2295.00,240.00,865.00,1580.00,57.00,149.00,568689.00,111226.00,113738.00,23724.00,5110.00,1582.00,1.83,1.00,0.69,791.00,0.91,0.50,0.34,516.00,0.60,0.33,0.22,341.00,5.98,2.29,1.42,170.00,2.98,1.14,0.71,111.00,1.95,0.74,0.46
"Madison, WI",2443.00,267.00,838.00,1640.00,121.00,194.00,886932.00,165619.00,177386.00,36850.00,7898.00,2457.00,2.93,1.50,1.01,1228.00,1.47,0.75,0.50,801.00,0.96,0.49,0.33,527.00,4.36,2.72,1.97,263.00,2.17,1.36,0.99,172.00,1.42,0.89,0.64
"Manchester, NH",1603.00,137.00,582.00,1092.00,53.00,95.00,714679.00,143594.00,142936.00,29886.00,6456.00,1992.00,3.42,1.82,1.24,996.00,1.71,0.91,0.62,650.00,1.12,0.60,0.41,430.00,8.11,4.53,3.14,215.00,4.06,2.26,1.57,140.00,2.64,1.47,1.02
"Manhattan, NY",14834.00,1427.00,3059.00,8946.00,616.00,1021.00,4173437.00,725342.00,834687.00,172372.00,36678.00,11491.00,3.76,1.28,0.77,5746.00,1.88,0.64,0.39,3747.00,1.22,0.42,0.25,2445.00,3.97,2.39,1.71,1223.00,1.99,1.20,0.86,797.00,1.29,0.78,0.56
"Marquette, MI",601.00,47.00,276.00,438.00,18.00,32.00,159278.00,39415.00,31856.00,6802.00,1506.00,453.00,1.64,1.03,0.75,227.00,0.82,0.52,0.38,148.00,0.54,0.34,0.25,100.00,5.56,3.13,2.13,50.00,2.78,1.56,1.06,33.00,1.83,1.03,0.70
"Marshfield, WI",706.00,68.00,281.00,494.00,34.00,51.00,295582.00,70770.00,59116.00,12577.00,2773.00,838.00,2.98,1.70,1.19,419.00,1.49,0.85,0.59,273.00,0.97,0.55,0.39,185.00,5.44,3.63,2.72,92.00,2.71,1.80,1.35,60.00,1.76,1.18,0.88
"Mason City, IA",470.00,18.00,239.00,354.00,6.00,12.00,100326.00,26837.00,20065.00,4322.00,967.00,288.00,1.21,0.81,0.61,144.00,0.60,0.41,0.31,94.00,0.39,0.27,0.20,64.00,10.67,5.33,3.56,32.00,5.33,2.67,1.78,21.00,3.50,1.75,1.17
"McAllen, TX",1938.00,350.00,849.00,1394.00,133.00,241.00,486579.00,74033.00,97316.00,19897.00,4181.00,1326.00,1.56,0.95,0.68,663.00,0.78,0.48,0.34,433.00,0.51,0.31,0.22,279.00,2.10,1.16,0.80,139.00,1.05,0.58,0.40,91.00,0.68,0.38,0.26
"Medford, OR",855.00,72.00,369.00,612.00,25.00,49.00,351154.00,95565.00,70231.00,15160.00,3398.00,1011.00,2.74,1.65,1.18,505.00,1.37,0.83,0.59,330.00,0.89,0.54,0.39,227.00,9.08,4.63,3.15,113.00,4.52,2.31,1.57,74.00,2.96,1.51,1.03
"Melrose Park, IL",2902.00,334.00,1122.00,2012.00,137.00,236.00,1031510.00,185204.00,206302.00,42716.00,9119.00,2848.00,2.54,1.42,0.98,1424.00,1.27,0.71,0.49,929.00,0.83,0.46,0.32,608.00,4.44,2.58,1.82,304.00,2.22,1.29,0.91,198.00,1.45,0.84,0.59
